case,class,P0,P1,P2
1149.png,0,0.5077813267707825,0.43470337986946106,0.057515256106853485
1299.png,2,0.042113617062568665,0.4218676686286926,0.5360187292098999
960.png,0,0.6876025199890137,0.30826514959335327,0.004132273606956005
1245.png,0,0.962899923324585,0.036973077803850174,0.00012695061741396785
1172.png,1,0.21384000778198242,0.5307592749595642,0.25540077686309814
789.png,0,0.8700897097587585,0.12840060889720917,0.0015096880961209536
896.png,0,0.7398696541786194,0.24958734214305878,0.010543030686676502
618.png,2,0.05322827771306038,0.44294923543930054,0.5038225650787354
1219.png,2,0.028260691091418266,0.3291589021682739,0.6425803899765015
947.png,2,0.03485564514994621,0.33733221888542175,0.6278120875358582
908.png,0,0.872478187084198,0.12578369677066803,0.0017381508368998766
569.png,1,0.14606373012065887,0.7440133690834045,0.10992294549942017
1117.png,0,0.9539889693260193,0.04581165686249733,0.00019931778660975397
535.png,0,0.5571039319038391,0.4166167378425598,0.026279322803020477
1163.png,2,0.022364551201462746,0.2779653072357178,0.6996701955795288
1194.png,1,0.08692397177219391,0.595929741859436,0.31714627146720886
973.png,0,0.9610141515731812,0.038850679993629456,0.00013516149192582816
888.png,0,0.7692105770111084,0.22518275678157806,0.005606678780168295
1293.png,1,0.20335201919078827,0.5585900545120239,0.238057941198349
952.png,2,0.010312143713235855,0.29816699028015137,0.6915208697319031
834.png,2,0.011271818540990353,0.24020709097385406,0.7485210299491882
1217.png,1,0.45737916231155396,0.5120062232017517,0.030614573508501053
1283.png,1,0.2761983275413513,0.5652053952217102,0.15859632194042206
886.png,0,0.8542371392250061,0.1447332203388214,0.0010296006221324205
1008.png,0,0.9585641622543335,0.04135700687766075,7.883249054430053e-05
1237.png,2,0.017725050449371338,0.3398391902446747,0.6424357891082764
1266.png,0,0.9417827725410461,0.05763367936015129,0.0005836131749674678
1137.png,0,0.9183858633041382,0.08112289011478424,0.0004912036820314825
1179.png,0,0.7760224342346191,0.21979545056819916,0.004182063043117523
737.png,0,0.5905629992485046,0.37932056188583374,0.030116528272628784
578.png,0,0.4919649064540863,0.4338230490684509,0.07421205192804337
955.png,1,0.23284047842025757,0.5964890122413635,0.1706705242395401
932.png,1,0.042953621596097946,0.495587021112442,0.46145936846733093
1262.png,1,0.24242791533470154,0.6235961318016052,0.13397593796253204
1234.png,1,0.12874425947666168,0.5256646275520325,0.34559106826782227
983.png,0,0.8781480193138123,0.12067247927188873,0.0011794721940532327
1204.png,0,0.8607630729675293,0.13803045451641083,0.001206542132422328
920.png,0,0.6225823760032654,0.3315182328224182,0.04589945822954178
1140.png,0,0.49620333313941956,0.4505033493041992,0.05329335108399391
727.png,2,0.030100544914603233,0.39110857248306274,0.5787909030914307
1180.png,0,0.8237196803092957,0.17306560277938843,0.003214679891243577
1130.png,2,0.012970243580639362,0.2961118221282959,0.6909179091453552
1157.png,1,0.41664549708366394,0.5562114119529724,0.02714313566684723
998.png,1,0.05165889114141464,0.5093432068824768,0.43899786472320557
612.png,1,0.16591733694076538,0.7203274369239807,0.1137552559375763
1003.png,1,0.07768183201551437,0.4834456145763397,0.4388725757598877
1302.png,0,0.4978078603744507,0.4369000494480133,0.06529214233160019
1128.png,0,0.6344188451766968,0.35163360834121704,0.013947504572570324
1214.png,0,0.6064741015434265,0.35051193833351135,0.043013934046030045
802.png,2,0.09764149785041809,0.4460073411464691,0.4563511312007904
1228.png,1,0.18607951700687408,0.6140934824943542,0.19982697069644928
1216.png,1,0.3434077799320221,0.5916484594345093,0.06494378298521042
945.png,2,0.014620164409279823,0.3033645749092102,0.6820152997970581
1158.png,2,0.00842217355966568,0.3021562695503235,0.689421534538269
966.png,0,0.6435838341712952,0.35133662819862366,0.0050795613788068295
903.png,0,0.6794347167015076,0.3068030774593353,0.013762266375124454
792.png,1,0.06066364794969559,0.6384314298629761,0.30090492963790894
1248.png,0,0.5188162326812744,0.42279109358787537,0.058392688632011414
626.png,1,0.26297053694725037,0.6364116668701172,0.10061775892972946
928.png,2,0.07170861214399338,0.405094176530838,0.5231972336769104
919.png,0,0.49340713024139404,0.4341377913951874,0.07245509326457977
1110.png,0,0.7359084486961365,0.2562979459762573,0.007793555036187172
630.png,2,0.034341126680374146,0.4796363413333893,0.48602259159088135
905.png,0,0.8320854902267456,0.16343943774700165,0.004475163295865059
1181.png,0,0.8933528065681458,0.1054268404841423,0.0012203891528770328
479.png,0,0.7107217311859131,0.26802751421928406,0.021250687539577484
1218.png,1,0.3868185579776764,0.5595778822898865,0.05360361188650131
548.png,0,0.7929872870445251,0.20496872067451477,0.0020439885556697845
959.png,1,0.07918033003807068,0.5370375514030457,0.38378214836120605
1123.png,0,0.8707307577133179,0.1277478039264679,0.0015215014573186636
1292.png,0,0.7519659996032715,0.24193401634693146,0.00609990581870079
914.png,0,0.7791547179222107,0.21476764976978302,0.006077609956264496
1201.png,0,0.7529754638671875,0.2332032024860382,0.013821381144225597
1259.png,2,0.03521483391523361,0.298386812210083,0.666398286819458
639.png,0,0.8436330556869507,0.1556280553340912,0.0007388622616417706
1136.png,0,0.9024894833564758,0.09636175632476807,0.0011488011805340648
1297.png,0,0.5603289008140564,0.41810938715934753,0.0215617585927248
1160.png,1,0.05111164227128029,0.47991231083869934,0.46897605061531067
1145.png,2,0.044642046093940735,0.26842302083969116,0.6869348883628845
736.png,0,0.8435679078102112,0.1550540328025818,0.0013781087473034859
787.png,2,0.06053205952048302,0.4311595559120178,0.5083083510398865
950.png,1,0.060677286237478256,0.4870317280292511,0.45229098200798035
988.png,1,0.47151094675064087,0.5154239535331726,0.01306513324379921
937.png,1,0.08205892145633698,0.6947709321975708,0.22317010164260864
904.png,0,0.654586136341095,0.33248335123062134,0.01293045561760664
285.png,1,0.11420734226703644,0.4566495716571808,0.4291430413722992
1170.png,0,0.7008951306343079,0.2925381064414978,0.006566785741597414
1212.png,0,0.7458762526512146,0.24227888882160187,0.011844740249216557
785.png,1,0.08323777467012405,0.5508021712303162,0.365960031747818
