case,class,P0,P1,P2
1243.png,1,0.392854869,0.603080451,0.004064648
599.png,2,0.011128437,0.333848506,0.655023098
1212.png,0,0.982649565,0.017317664,3.28E-05
1203.png,0,0.999998093,1.92E-06,2.42E-12
1171.png,0,0.653639555,0.335772455,0.01058799
909.png,1,0.451996386,0.530696213,0.017307423
962.png,0,0.999999285,7.33E-07,2.27E-13
1125.png,2,0.001198622,0.34549737,0.653303981
1194.png,0,0.735848248,0.263630122,0.000521713
983.png,0,0.999954939,4.51E-05,3.99E-10
1175.png,0,0.999494791,0.000505097,1.65E-07
1141.png,0,0.999995351,4.60E-06,1.04E-11
1186.png,0,0.999999046,9.19E-07,3.63E-13
1248.png,0,0.999994636,5.36E-06,1.35E-11
1224.png,0,0.619451821,0.380441606,0.000106572
934.png,0,0.662812054,0.321772069,0.015415828
1136.png,0,0.951311111,0.048565004,0.000123853
901.png,0,0.999931931,6.80E-05,8.52E-10
1257.png,0,0.999083281,0.000916601,1.43E-07
782.png,0,0.863943875,0.119344644,0.016711444
1179.png,0,0.999982476,1.75E-05,8.87E-11
907.png,0,0.998908997,0.001090554,4.54E-07
633.png,1,0.024204982,0.975766838,2.82E-05
995.png,2,1.60E-05,0.002378074,0.997605801
985.png,0,0.997250855,0.002748404,6.96E-07
756.png,0,0.997887433,0.00211229,2.51E-07
890.png,1,0.18925868,0.81017971,0.000561626
1283.png,1,0.007739741,0.989131987,0.0031283
883.png,0,0.936059117,0.063929275,1.16E-05
1270.png,0,0.999999881,6.36E-08,1.80E-15
893.png,0,0.927810967,0.07216651,2.25E-05
1219.png,2,0.000408651,0.154981613,0.844609737
1291.png,0,0.999587476,0.000412536,3.36E-09
1280.png,2,1.45E-06,0.023530457,0.976468086
1111.png,0,0.544625401,0.358769834,0.096604727
954.png,0,0.948483825,0.051120184,0.000395974
943.png,2,0.119842365,0.396364391,0.483793229
1251.png,0,0.973239601,0.026652018,0.000108307
1008.png,0,0.949475348,0.05051608,8.62E-06
1217.png,0,0.999966741,3.33E-05,1.72E-10
989.png,0,0.561143577,0.438247144,0.000609248
648.png,0,0.999185741,0.000814184,8.08E-08
1207.png,1,0.138702467,0.819269598,0.042027935
793.png,0,0.903646469,0.095037848,0.001315744
608.png,1,0.007473859,0.807520151,0.185005978
1292.png,0,0.998601854,0.001398132,2.17E-09
571.png,0,0.925482035,0.074296884,0.000221042
579.png,1,0.135410458,0.575105965,0.289483607
937.png,1,0.060500268,0.911992967,0.027506795
1188.png,0,0.999951839,4.82E-05,4.12E-10
1005.png,2,3.78E-06,0.030261217,0.969734967
560.png,0,0.99970454,0.000295395,1.14E-08
