case,class,P0,P1,P2
1276.png,0,0.7999109029769897,0.18403032422065735,0.016058744862675667
1281.png,2,0.0028831642121076584,0.1018916517496109,0.8952251672744751
995.png,2,0.007068020291626453,0.1319417804479599,0.8609901666641235
727.png,2,0.03878707066178322,0.36247074604034424,0.5987421870231628
1227.png,2,0.013931836932897568,0.2376175969839096,0.7484505772590637
656.png,2,0.08371513336896896,0.3725357949733734,0.5437490344047546
631.png,0,0.5779755115509033,0.3677217364311218,0.05430271476507187
1204.png,0,0.7532397508621216,0.22555208206176758,0.02120814472436905
1132.png,0,0.758248507976532,0.22149178385734558,0.020259711891412735
931.png,0,0.7760916948318481,0.20638763904571533,0.01752067171037197
896.png,0,0.7152394652366638,0.25172197818756104,0.03303854912519455
1131.png,2,0.010419880971312523,0.2647968828678131,0.7247832417488098
1273.png,0,0.7177460193634033,0.25422805547714233,0.028025919571518898
997.png,2,0.00888802669942379,0.28646183013916016,0.7046501636505127
1228.png,1,0.18427224457263947,0.48780351877212524,0.3279242217540741
980.png,0,0.6927100419998169,0.2592324912548065,0.04805740341544151
1200.png,0,0.8024880290031433,0.17772091925144196,0.01979103311896324
886.png,0,0.7798335552215576,0.2027076780796051,0.01745879091322422
488.png,0,0.6098297834396362,0.3518982231616974,0.038272034376859665
1254.png,0,0.7073759436607361,0.2715606987476349,0.02106330730021
953.png,1,0.03289584815502167,0.6321625113487244,0.33494165539741516
1195.png,0,0.5545485019683838,0.35778072476387024,0.08767084032297134
1264.png,0,0.709974467754364,0.2601490020751953,0.029876476153731346
945.png,2,0.021382693201303482,0.3020041584968567,0.6766131520271301
648.png,0,0.6941477656364441,0.2762790322303772,0.029573235660791397
1125.png,2,0.09897883236408234,0.3841325342655182,0.5168886184692383
638.png,1,0.4034676253795624,0.46901074051856995,0.12752169370651245
1209.png,0,0.5019676685333252,0.417563796043396,0.08046846091747284
1252.png,0,0.7097678184509277,0.26764100790023804,0.02259116806089878
